Cell ID,Minute,x,y,z
4300192,43,596.5205,552.5831,613.75397
4300193,43,550.50006,695.3848,618.6435
4300194,43,716.29425,304.75497,619.9787
4300195,43,556.4125,453.28738,620.1019
4300196,43,311.69455,540.43054,620.1273
4300197,43,520.78253,573.9168,625.50134
4300198,43,714.93335,585.39795,628.5572
4300199,43,363.1391,482.62485,630.02716
4300200,43,696.74603,381.9744,633.7947
4300201,43,502.79953,469.59067,634.2913
4300202,43,409.4105,656.9962,634.57556
4300203,43,708.1686,385.99854,635.54175
4300204,43,447.4712,328.51413,637.1086
4300205,43,445.61597,427.12405,637.87915
4300206,43,324.08054,421.67502,641.2669
4300207,43,461.90985,261.34375,641.5732
4300208,43,376.98657,314.28552,642.7341
4300209,43,488.01477,520.21497,642.9293
4300210,43,664.4068,624.5868,643.2395
4300211,43,579.7546,396.4417,647.272
4300212,43,506.24765,704.93744,647.6426
4300213,43,503.0478,377.75436,647.65234
4300214,43,583.80865,698.582,650.627
4300215,43,607.7321,485.701,652.03357
4300216,43,730.09174,485.18613,652.0868
4300217,43,594.69745,632.34564,653.4497
4300218,43,498.38446,649.5282,654.46545
4300219,43,434.3984,588.7339,656.7177
4300220,43,545.1904,268.88416,658.10144
4300221,43,552.3252,326.67578,670.7988
4300222,43,669.78064,505.44373,675.5828
4300223,43,400.5729,509.76846,678.03186
4300224,43,640.9436,339.1938,679.03033
4300225,43,542.36237,604.4774,680.4299
4300226,43,683.19867,414.61673,682.90234
4300227,43,542.54877,505.38885,684.4159
4300228,43,407.42197,399.48117,687.6984
4300229,43,602.52997,542.68823,692.202
4300230,43,499.7754,548.8503,694.7363
4300231,43,471.7454,475.2466,699.95465
4300232,43,480.75156,341.02103,701.38806
4300233,43,513.4105,423.24048,702.016
4300234,43,562.80316,464.59186,704.3782
4300235,43,620.0788,416.9288,705.89484
4300236,43,543.77075,378.63132,709.0398
4400000,44,960.9784,620.51306,299.02457
4400001,44,950.52435,416.69427,313.43243
4400002,44,967.8304,494.5224,314.1433
4400003,44,929.45654,343.77304,329.2581
4400004,44,824.57916,221.03004,340.29245
4400005,44,909.2436,704.0693,353.35928
4400006,44,839.1594,811.711,356.89832
4400007,44,732.26654,141.21844,362.45663
4400008,44,936.6026,575.7774,364.41028
4400009,44,251.0803,167.4886,374.2702
4400010,44,920.8869,501.87698,376.80383
4400011,44,636.929,102.57161,381.82407
4400012,44,658.3007,923.16125,386.38617
4400013,44,532.42377,74.54607,387.612
4400014,44,897.6466,350.71225,387.6161
4400015,44,453.91394,91.22258,388.83075
4400016,44,313.447,849.7728,392.3623
4400017,44,885.5492,432.06705,394.6738
4400018,44,408.0846,903.80804,394.8969
4400019,44,777.3387,195.07121,395.81543
4400020,44,933.60535,427.29623,396.48416
4400021,44,142.52115,372.77917,396.65295
4400022,44,224.07962,753.25867,400.21893
4400023,44,183.87654,666.40826,402.22427
4400024,44,892.03296,647.08594,404.36554
4400025,44,734.48944,863.9481,406.95734
4400026,44,546.77527,933.4275,409.33734
4400027,44,174.77254,276.06137,409.78165
4400028,44,567.7926,101.45221,410.83005
4400029,44,136.1151,458.6968,411.37
4400030,44,140.50761,566.4107,411.43
4400031,44,857.74567,735.28015,412.54776
4400032,44,832.25397,347.07004,412.8885
4400033,44,657.16003,149.82547,413.53543
4400034,44,306.6819,156.66481,418.08875
